timestamp,n_components,n_neighbors,min_dist,cluster_selection_epsilon,n_clusters,n_unclustered
2025-12-02T19:09:28.464568,16,10,0.05,0.01,120,448
2025-12-02T19:09:36.108016,16,10,0.05,0.0125,75,252
2025-12-02T19:09:43.598143,16,10,0.08,0.0075,214,1102
2025-12-02T19:09:51.038494,16,10,0.08,0.01,130,579
2025-12-02T19:09:55.631522,16,10,0.08,0.0125,80,351
2025-12-02T19:10:05.689282,16,16,0.03,0.0075,163,937
2025-12-02T19:10:14.930713,16,16,0.03,0.01,95,533
2025-12-02T19:10:25.232746,16,16,0.03,0.0125,64,281
2025-12-02T19:10:33.379695,16,16,0.05,0.0075,174,1082
2025-12-02T19:10:50.158867,16,16,0.05,0.01,106,719
2025-12-02T19:10:56.618271,16,16,0.05,0.0125,64,371
2025-12-02T19:11:05.915195,16,16,0.08,0.0075,185,1388
2025-12-02T19:11:15.256352,16,16,0.08,0.01,122,908
2025-12-02T19:11:24.575105,16,16,0.08,0.0125,71,509
